Warning: Design 'jaa' has '1' unresolved references. For more detailed information, use the "link" command. (UID-341)
Information: Updating design information... (UID-85)
 
****************************************
Report : cell
Design : jaa
Version: C-2009.06-SP5
Date   : Sun Jul  8 12:33:12 2018
****************************************

Attributes:
    b - black box (unknown)
    h - hierarchical
    n - noncombinational
    r - removable
   so - sizing only
    u - contains unmapped logic

Cell                      Reference       Library             Area  Attributes
--------------------------------------------------------------------------------
instructions_reg[0]       RSLATX1         typical         33.264000 n, so
instructions_reg[1]       TLATX4          typical         56.548801 n, so
instructions_reg[2]       TLATX4          typical         56.548801 n, so
instructions_reg[3]       TLATX4          typical         56.548801 n, so
instructions_reg[4]       TLATX4          typical         56.548801 n, so
instructions_reg[5]       TLATX4          typical         56.548801 n, so
instructions_reg[6]       TLATX4          typical         56.548801 n, so
instructions_reg[7]       TLATX4          typical         56.548801 n, so
instructions_reg[8]       TLATX4          typical         56.548801 n, so
instructions_reg[9]       TLATX4          typical         56.548801 n, so
instructions_reg[10]      TLATX4          typical         56.548801 n, so
instructions_reg[11]      TLATX4          typical         56.548801 n, so
instructions_reg[12]      TLATX4          typical         56.548801 n, so
instructions_reg[13]      TLATX4          typical         56.548801 n, so
instructions_reg[14]      TLATX4          typical         56.548801 n, so
instructions_reg[15]      TLATX4          typical         56.548801 n, so
instructions_reg[16]      TLATX4          typical         56.548801 n, so
instructions_reg[17]      TLATX4          typical         56.548801 n, so
instructions_reg[18]      TLATX4          typical         56.548801 n, so
instructions_reg[19]      TLATX4          typical         56.548801 n, so
instructions_reg[20]      TLATX4          typical         56.548801 n, so
instructions_reg[21]      TLATX4          typical         56.548801 n, so
instructions_reg[22]      TLATX4          typical         56.548801 n, so
instructions_reg[23]      TLATX4          typical         56.548801 n, so
instructions_reg[24]      TLATX4          typical         56.548801 n, so
instructions_reg[25]      TLATX4          typical         56.548801 n, so
instructions_reg[26]      TLATX4          typical         56.548801 n, so
instructions_reg[27]      TLATX4          typical         56.548801 n, so
instructions_reg[28]      TLATX4          typical         56.548801 n, so
instructions_reg[29]      TLATX4          typical         56.548801 n, so
instructions_reg[30]      TLATX4          typical         56.548801 n, so
instructions_reg[31]      TLATX4          typical         56.548801 n, so
instructions_reg[32]      TLATX4          typical         56.548801 n, so
instructions_reg[33]      TLATX4          typical         56.548801 n, so
instructions_reg[34]      TLATX4          typical         56.548801 n, so
instructions_reg[35]      TLATX4          typical         56.548801 n, so
instructions_reg[36]      TLATX4          typical         56.548801 n, so
instructions_reg[37]      TLATX4          typical         56.548801 n, so
instructions_reg[38]      TLATX4          typical         56.548801 n, so
instructions_reg[39]      TLATX4          typical         56.548801 n, so
instructions_reg[40]      TLATX4          typical         56.548801 n, so
